Latitude,Longitude
53.508007,-2.180807
53.519072,-2.174384
53.519072,-2.174384
53.517548,-2.171663
53.517548,-2.171663
53.518753,-2.177489
53.519609,-2.170118
53.519146,-2.173253
53.519566,-2.174506
53.520259,-2.173876
53.519609,-2.170118
53.516003,-2.170827
53.519444,-2.178276
53.515853,-2.175396
53.516003,-2.170827
53.516003,-2.170827
53.521255,-2.175026
53.519609,-2.170118
53.519072,-2.174384
53.517548,-2.171663
53.520046,-2.178445
53.517548,-2.171663
53.51648,-2.177057
53.519146,-2.173253
53.519444,-2.178276
53.519444,-2.178276
53.519146,-2.173253
53.518753,-2.177489
53.519072,-2.174384
53.51987,-2.16303
53.518876,-2.166661
53.518358,-2.171214
53.518876,-2.166661
53.518358,-2.171214
53.518358,-2.171214
53.519385,-2.169167
53.518171,-2.169599
53.520787,-2.169353
53.518852,-2.171547
53.518634,-2.159753
53.517556,-2.15919
53.517128,-2.163909
53.517556,-2.15919
53.517128,-2.163909
53.517556,-2.15919
53.517556,-2.15919
53.516662,-2.162535
53.517556,-2.15919
53.516662,-2.162535
53.519795,-2.158762
